symbol,target_prob_acc,target_mfe_mae,target_mfe_r2,target_mae_mae,target_mae_r2
SBILIFE,0.6784,2.158306400337245,0.19944148651950078,2.522971153674207,0.1313797667483898
TATACONSUM,0.6835527412097984,2.4860925943248198,0.48822251285357987,4.031027639108601,0.10622180578330798
PNB,0.8058656890518247,2.4603990333375982,0.4316931270973263,5.322736997362136,-0.09058354112081357
NTPC,0.70488251958007,3.22348944276492,0.5864283978968066,3.458082630247837,0.18510922393717733
GRASIM,0.6570571571404766,2.599357266853945,0.30801614328185223,3.592790912694477,0.010445255092252803
YESBANK,0.8653557740376604,2.840458782072467,0.4363891783717383,2.892440203849584,0.03255508055366496
INFY,0.7577070488251958,1.4729819218188203,0.04890735218374609,2.4790015069229554,-0.21320299408450838
APOLLOHOSP,0.7090484919180137,2.065046986084724,-0.10367093719472464,2.4362476346831814,0.07001451827715632
ONGC,0.7553741043159473,1.7998488968020712,0.26155192475972355,2.2428642196847313,0.08546579229592122
ITC,0.7534222222222222,1.44039955079841,0.38806094582407735,3.1909205368733446,0.031020584827262443
TCS,0.7808698550241626,1.6439108320453681,0.31706025194427767,2.096734617484519,-0.0019116606922948698
ADANIPORTS,0.7875555555555556,2.2029874680415515,0.26455569417171887,2.5785342593130887,0.0844129661085008
UPL,0.5352441259790035,1.8614988361173772,0.07095572406566297,5.068130977847099,-0.02094720290623009
RELIANCE,0.7518746875520746,1.6474575473645232,-0.0766302339374123,3.3433516775296637,0.10624319161344464
BRITANNIA,0.6767205465755708,2.526406093711388,0.3317753310080097,3.6162714538385443,0.0840946379381069
DIVISLAB,0.6642226295617397,2.0106971717293716,0.5793092592890772,3.444566675498755,-0.02804035318732767
BHARTIARTL,0.6818863522746209,1.8655363591272744,-0.1497522608271722,3.871354588232148,-0.03999300045964893
LUPIN,0.8126222222222222,2.771375195388886,0.3919084018382435,2.3688484604891094,0.24904488899174837
BEL,0.7152141309781703,1.7844634438334217,0.566846866730002,2.3270643981182197,-5.568712365477158
AMBUJACEM,0.8291951341443092,2.4404007937852077,0.43283093980050436,2.971383814391402,0.19928073959285664
BAJAJFINSV,0.8271954674220963,1.7874767336047903,0.35789649338507146,3.4381809633920892,0.01716060101202288
HEROMOTOCO,0.6501333333333333,2.0890206022060425,0.43698853223517753,4.024292230152023,0.06429805423890234
SAMMAANCAP,0.7434666666666667,2.9215851215633104,0.42601514992474254,2.821367271859855,-0.0023829769446688243
NESTLEIND,0.7030494917513748,2.2789787238185597,0.5052036769576974,4.042170308089941,-0.014596824506809547
ASIANPAINT,0.7563739376770539,2.2340711097722017,0.3381596336781413,3.6405271525977647,0.14016618836940864
BPCL,0.760873187802033,1.6845935911186456,0.33582737303317045,3.728419768212313,0.17585429152563503
INDIGO,0.732544575904016,1.8403372593991236,-0.007834854414824122,3.010018291093095,0.1285022046478288
HDFCLIFE,0.7754666666666666,1.9129248476295797,-0.5504660382235222,3.739827616648792,0.17391508753893692
